payment_id,user_id,paid_at,amount_usd,plan,is_refunded,net_amount_usd
P00000000,U0000000,2022-05-16,49.0,monthly,0,49.0
P00000001,U0000000,2022-06-16,49.0,monthly,0,49.0
P00000002,U0000004,2021-10-24,49.0,monthly,0,49.0
P00000003,U0000004,2021-11-24,49.0,monthly,0,49.0
P00000004,U0000004,2021-12-24,49.0,monthly,0,49.0
P00000005,U0000004,2022-01-24,49.0,monthly,0,49.0
P00000006,U0000004,2022-02-24,49.0,monthly,0,49.0
P00000007,U0000005,2021-05-10,49.0,monthly,0,49.0
P00000008,U0000005,2021-06-10,49.0,monthly,0,49.0
P00000009,U0000005,2021-07-10,49.0,monthly,0,49.0
P00000010,U0000005,2021-08-10,49.0,monthly,0,49.0
P00000011,U0000005,2021-09-10,49.0,monthly,0,49.0
P00000012,U0000005,2021-10-10,49.0,monthly,0,49.0
P00000013,U0000005,2021-11-10,49.0,monthly,0,49.0
P00000014,U0000005,2021-12-10,49.0,monthly,0,49.0
P00000015,U0000005,2022-01-10,49.0,monthly,0,49.0
P00000016,U0000005,2022-02-10,49.0,monthly,0,49.0
P00000017,U0000005,2022-03-10,49.0,monthly,0,49.0
P00000018,U0000005,2022-04-10,49.0,monthly,0,49.0
P00000019,U0000007,2021-10-11,49.0,monthly,0,49.0
P00000020,U0000007,2021-11-11,49.0,monthly,0,49.0
P00000021,U0000007,2021-12-11,49.0,monthly,0,49.0
P00000022,U0000008,2021-06-07,49.0,monthly,0,49.0
P00000023,U0000008,2021-07-07,49.0,monthly,0,49.0
P00000024,U0000008,2021-08-07,49.0,monthly,0,49.0
P00000025,U0000008,2021-09-07,49.0,monthly,0,49.0
P00000026,U0000008,2021-10-07,49.0,monthly,0,49.0
P00000027,U0000008,2021-11-07,49.0,monthly,0,49.0
P00000028,U0000008,2021-12-07,49.0,monthly,0,49.0
P00000029,U0000008,2022-01-07,49.0,monthly,0,49.0
P00000030,U0000009,2021-01-07,49.0,monthly,0,49.0
P00000031,U0000009,2021-02-07,49.0,monthly,0,49.0
P00000032,U0000009,2021-03-07,49.0,monthly,0,49.0
P00000033,U0000009,2021-04-07,49.0,monthly,0,49.0
P00000034,U0000009,2021-05-07,49.0,monthly,0,49.0
P00000035,U0000009,2021-06-07,49.0,monthly,0,49.0
P00000036,U0000009,2021-07-07,49.0,monthly,0,49.0
P00000037,U0000009,2021-08-07,49.0,monthly,0,49.0
P00000038,U0000009,2021-09-07,49.0,monthly,0,49.0
P00000039,U0000009,2021-10-07,49.0,monthly,0,49.0
P00000040,U0000009,2021-11-07,49.0,monthly,0,49.0
P00000041,U0000009,2021-12-07,49.0,monthly,0,49.0
P00000042,U0000010,2023-02-21,399.0,annual,0,399.0
P00000043,U0000013,2023-01-11,49.0,monthly,0,49.0
P00000044,U0000013,2023-02-11,49.0,monthly,0,49.0
